Rank  ;  Name   ; State  ; Tuition (in-state for public schools in$) ; Total Student Population
141;    University of Delaware ; DE ;12520;22852
142;    Lehigh University  ; PA ;46230;7054
142;    Western Washington University  ; WA ;8611;15332
144;    University of South Florida; FL ;6410;42067
145;    Carleton College   ; MN ;49263;2014
146;    SUNY, Geneseo  ; NY ;8113;5699
147;    Colorado School of Mines   ; CO ;17353;6054
148;    Louisiana Tech University  ; LA ;8854;12371
149;    Colorado College   ; CO ;48996;2131
150;    Pitzer College ; CA ;48670;1067
151;    University of Central Florida  ; FL ;6368;62953
152;    University of Vermont  ; VT ;16768;12815
153;    Grove City College ; PA ;16154;2444
154;    Auburn University  ; AL ;10424;27287
155;    SUNY, Farmingdale State College; NY ;7808;8648
156;    CUNY, John Jay College of Criminal Justice ; NY ;6810;14732
157;    The Citadel; SC ;11364;3506
158;    California State University, Los Angeles   ; CA ;6355;2768
159;    Montana Tech of the University of Montana  ; MT ;6539;213
160;    Colorado State University, Fort Collins; CO ;10558;30614
161;    University of Arkansas ; AR ;8522;26754
162;    University of Nebraska, Lincoln; NE ;8367;2526
163;    Harvey Mudd College; CA ;50649;825
164;    University of Missouri, Columbia   ; MO ;9509;35424
165;    Smith College  ; MA ;46288;2874
166;    University of Wyoming  ; WY ;4892;12648
167;    Carnegie Mellon University ; PA ;50665;12963
168;    Furman University  ; SC ;46012;2884
169;    Iowa State University  ; IA ;7736;35714
170;    University of Kansas   ; KS ;10825;27259
171;    California State University Maritime Academy   ; CA ;6558;1075
171;    Scripps College; CA ;49152;989
173;    University of Minnesota, Morris; MN ;12846;1856
174;    University of Tennessee, Knoxville ; TN ;12436;27845
175;    Southern Methodist University  ; TX ;48190;11643
176;    University of Nevada, Reno ; NV ;6902;20898
177;    Michigan Technological University  ; MI ;14286;7218
177;    University of Alaska, Fairbanks; AK ;5674;8638
179;    Oregon State University; OR ;10107;29576
180;    SUNY Maritime College  ; NY ;7809;186
181;    Towson University  ; MD ;9182;22284
182;    University of Hawaii, Manoa; HI ;11164;18865
183;    University of Colorado, Denver ; CO ;8692;23671
184;    Illinois Institute of Technology   ; IL ;43680;7792
185;    Boston University  ; MA ;48436;32158
186;    College of New Jersey  ; NJ ;15466;7406
187;    Bucknell University; PA ;50152;3625
188;    Sonoma State University; CA ;7330;9408
189;    Tulane University  ; LA ;49638;12485
190;    University of Alabama in Huntsville; AL ;9128;7866
191;    University of Texas, Arlington ; TX ;9208;41988
192;    Truman State University; MO ;7456;6208
193;    Whitman College; WA ;46138;147
194;    Connecticut College; CT ;49350;1922
195;    New Mexico State University; NM ;6094;1549
196;    College of the Holy Cross  ; MA ;47176;2729
197;    Oregon Institute of Technology ; OR ;8838;4777
198;    University of Miami (FL)   ; FL ;45724;16825
199;    Villanova University   ; PA ;47616;10711
200;    Pennsylvania State University  ; PA ;17514;47307
200;    University of Mary Washington  ; VA ;11130;4647
202;    West Virginia University   ; WV ;7632;28776
203;    University of Tulsa; OK ;39521;4671
204;    University of Nevada, Las Vegas; NV ;6943;286
205;    Appalachian State University   ; NC ;6852;17932
205;    University of Louisiana, Lafayette ; LA ;8256;17508
207;    California State University, San Bernardino; CA ;6577;20024
208;    Occidental College ; CA ;49248;2023
209;    Florida Atlantic University; FL ;4831;3038
210;    Tennessee Technological University ; TN ;8011;109
210;    Wofford College; SC ;38705;166
212;    University of Texas, El Paso   ; TX ;7259;23397
213;    George Washington University   ; DC ;50435;26212
214;    University of North Georgia; GA ;4403;17289
215;    University of Kentucky ; KY ;10936;29727
216;    American University; DC ;43103;13198
217;    Sarah Lawrence College ; NY ;51038;1643
218;    Montana State University   ; MT ;6849;15236
219;    Case Western Reserve University; OH ;44560;1134
220;    Brandeis University; MA ;49598;5752
221;    DePauw University  ; IN ;44678;2265
222;    CUNY, Lehman College   ; NY ;6760;12807
222;    Weber State University ; UT ;5321;25955
224;    Embry-Riddle Aeronautical University, Prescott ; AZ ;33144;2265
225;    SUNY, College at New Paltz ; NY ;7737;7751
226;    Denison University ; OH ;47290;2254
226;    University of Rochester; NY ;48280;11105
228;    Macalester College ; MN ;48887;2172
229;    Loyola Marymount University; CA ;42795;9392
230;    Oberlin College; OH ;50582;2929
230;    Presbyterian College   ; SC ;36130;1379
230;    University of Massachusetts, Amherst   ; MA ;14171;29269
233;    University of Alaska, Anchorage; AK ;5545;16762
234;    University of North Florida; FL ;6394;15675
235;    Touro College  ; NY ;16700;13033
236;    University of Alabama  ; AL ;10170;37098
237;    Wheaton College (IL)   ; IL ;32950;2929
238;    University of Mississippi  ; MS ;7444;23212
239;    Montclair State University ; NJ ;11773;20465
240;    University of Denver   ; CO ;44178;11797
241;    University of San Diego; CA ;44586;8251
242;    Florida International University   ; FL ;6556;49782
242;    Mississippi State University   ; MS ;7502;20873
244;    Dickinson College  ; PA ;49489;242
245;    Rockhurst University   ; MO ;34790;2825
246;    Wabash College ; IN ;39980;868
247;    St. Mary's College of Maryland ; MD ;13895;1735
248;    University of North Texas  ; TX ;9730;37299
249;    Manhattan College  ; NY ;38580;4071
250;    Sewanee—University of the South; TN ;38700;1797
251;    North Dakota State University  ; ND ;8098;14516
252;    University of Texas, Rio Grande Valley ; TX ;7292;28584
253;    Trinity University (TX); TX ;37856;2438
254;    Texas Christian University ; TX ;40720;10323
255;    University of Portland ; OR ;42288;4338
256;    University of North Carolina, Charlotte; NC ;6532;27983
257;    University of Idaho; ID ;7020;11372
258;    University of New Mexico   ; NM ;7071;27285
259;    University of New Orleans  ; LA ;8004;8423
260;    Florida Institute of Technology; FL ;39290;6631
261;    Texas State University ; TX ;9348;37979
262;    University of Cincinnati   ; OH ;11000;36042
263;    Bentley University ; MA ;44085;5552
264;    University of Pittsburgh   ; PA ;18192;28649
264;    University of San Francisco; CA ;42634;10797
266;    University of Nebraska, Omaha  ; NE ;6898;15526
267;    Rhodes College ; TN ;43224;2063
268;    Mount Holyoke College  ; MA ;43886;2215
269;    Pepperdine University  ; CA ;48342;7632
270;    University of South Carolina   ; SC ;11482;33724
271;    University of Massachusetts Lowell ; MA ;13427;18047
272;    Embry-Riddle Aeronautical University, Daytona Beach; FL ;33218;5806
273;    Union College (NY) ; NY ;50013;2269
274;    SUNY, College of Environmental Science and Forestry; NY ;7848;2222
275;    Hendrix College; AR ;40870;1338
275;    University of North Carolina, Asheville; NC ;6605;3891
277;    Central Washington University  ; WA ;8688;11993
277;    Fordham University ; NY ;47317;15286
279;    Bryn Mawr College  ; PA ;47140;1692
280;    University of the Pacific (CA) ; CA ;42934;6281
281;    St. Olaf College   ; MN ;42940;3046
282;    Earlham College; IN ;44390;1067
283;    Kansas State University; KS ;9350;24146
284;    Elon University; NC ;32172;6631
285;    University of Wisconsin, Eau Claire; WI ;8822;10592
286;    Saint Joseph's University (PA) ; PA ;42180;8625
286;    University of Colorado Colorado Springs; CO ;7692;11988
288;    Lewis & Clark College  ; OR ;45104;3526
289;    Salisbury University   ; MD ;9086;8671
290;    Thomas Aquinas College ; CA ;24500;377
291;    Gonzaga University ; WA ;37990;7491
292;    Westmont College   ; CA ;41360;1297
293;    St. Francis College; NY ;23800;2672
294;    Gettysburg College ; PA ;49140;2447
294;    Northeastern University; MA ;45530;1994
294;    Syracuse University; NY ;43318;21789
297;    Saint John's University (MN)   ; MN ;40226;1869
297;    University of Massachusetts Boston ; MA ;12682;1703
299;    St. John's College, Santa Fe   ; NM ;49644;390
300;    Northern Arizona University; AZ ;10358;29021
